Asset #,Project Number,Project Name,Location,Property Type,Beds/Rooms/Units,Acres,Square Feet,Stories,Year Built / Renovated,Asset Mgr,Start,Draft,Final,Immediate,Short Term,Capital Reserve,PCA,PCA Cost,ESA,ESA Cost,PML,PML Cost,# of Docs,Client,Portfolio,Vendor,Link,"","","","","",""
21-350533.9,21-350533.9,Eastern Shore Animal Hospital,"34424 Lankford Highway, Painter, VA 23420",Retail,"",0,0,"","",,"January 19, 2022","February 12, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402861,,,,,,
21-350533.10,21-350533.10,Deerfield Animal Hospital,"150 Waukegan Road, Deerfield, IL 60015",Retail,"",0,0,"","",,"January 19, 2022","February 12, 2022","February 12, 2022",,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402862,,,,,,
21-350533.11,21-350533.11,Pender Veterinary Center - Manassas & PetSuites Manassas,"9471 Manassas Drive, Manassas Park, VA 20111",Retail,"",0,0,"","",,"January 19, 2022","February 12, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402863,,,,,,
21-350533.12,21-350533.12,Animal Hospital of Waco,"2501 LaSalle Avenue, Waco, TX 76706",Retail,"",0,0,"","",,"January 19, 2022","February 12, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402864,,,,,,
21-350533.13,21-350533.13,Palm Glen Animal Hospital,"7771 North 43rd Avenue, Phoenix, AZ 85051",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022","February 15, 2022",,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402865,,,,,,
21-350533.14,21-350533.14,Best Friends Animal Hospital,"1988 Lincoln Way, West Chambersburg, PA 17202",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402866,,,,,,
21-350533.15,21-350533.15,McClintock Animal Care Center,"1836 East Elliot Road, Tempe, AZ 85284",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402867,,,,,,
21-350533.16,21-350533.16,Animal Care Center of Plainfield & CARE,"14411 South Route 59, Plainfield, IL 60544",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402868,,,,,,
21-350533.17,21-350533.17,Shorewood Animal Care Center,"189 Brook Forest Avenue, Shorewood, IL 60404",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402870,,,,,,
21-350533.18,21-350533.18,Polaris Animal Care Center,"8928 South Old State Road, Lewis Center, OH 43035",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402872,,,,,,
